edges,graph_name,graph_type,method_name,nodes,time
14951,_,erdos_renyi,approx,3000,3.4341821000016353
14962,_,erdos_renyi,approx,3000,3.471166399998765
15055,_,erdos_renyi,approx,3000,3.448951299997134
17437,_,erdos_renyi,approx,3500,4.147114899998996
17717,_,erdos_renyi,approx,3500,4.376477400001022
17429,_,erdos_renyi,approx,3500,4.23089329999857
17716,_,erdos_renyi,approx,3500,4.370968399998674
17596,_,erdos_renyi,approx,3500,4.142453699998441
19719,_,erdos_renyi,approx,4000,5.066966200000024
20043,_,erdos_renyi,approx,4000,5.057082499999524
20045,_,erdos_renyi,approx,4000,4.982717999999295
20038,_,erdos_renyi,approx,4000,5.00406379999913
19896,_,erdos_renyi,approx,4000,5.0134939999989
22398,_,erdos_renyi,approx,4500,5.914270000001125
22799,_,erdos_renyi,approx,4500,5.982032500000059
22318,_,erdos_renyi,approx,4500,5.761047800002416
22647,_,erdos_renyi,approx,4500,5.948031299998547
22494,_,erdos_renyi,approx,4500,5.9416067999991355
24879,_,erdos_renyi,approx,5000,6.839983300000313
25255,_,erdos_renyi,approx,5000,6.990982500003156
25144,_,erdos_renyi,approx,5000,7.070913100000325
25123,_,erdos_renyi,approx,5000,6.947721500000625
25138,_,erdos_renyi,approx,5000,6.850081999997201
2500,_,watts_strogatz,nxapprox,500,50.12264689999938
2500,_,watts_strogatz,approx,500,0.4641669999982696
2500,_,watts_strogatz,nxapprox,500,49.89169089999996
2500,_,watts_strogatz,approx,500,0.45456459999695653
2500,_,watts_strogatz,nxapprox,500,49.75249529999928
2500,_,watts_strogatz,approx,500,0.45753379999950994
2500,_,watts_strogatz,nxapprox,500,49.66938370000207
2500,_,watts_strogatz,approx,500,0.448431900000287
2500,_,watts_strogatz,nxapprox,500,49.793991800001095
2500,_,watts_strogatz,approx,500,0.4632596999981615
5000,_,watts_strogatz,nxapprox,1000,110.9227383000034
5000,_,watts_strogatz,approx,1000,0.9383576000000176
5000,_,watts_strogatz,nxapprox,1000,110.3271167999992
5000,_,watts_strogatz,approx,1000,0.947454100001778
5000,_,watts_strogatz,nxapprox,1000,112.06412189999901
5000,_,watts_strogatz,approx,1000,0.9075501000006625
5000,_,watts_strogatz,nxapprox,1000,111.78741420000006
5000,_,watts_strogatz,approx,1000,0.9278691999970761
5000,_,watts_strogatz,nxapprox,1000,111.53067680000095
5000,_,watts_strogatz,approx,1000,0.9152333000020008
7500,_,watts_strogatz,nxapprox,1500,177.33294040000328
7500,_,watts_strogatz,approx,1500,1.441690399999061
7500,_,watts_strogatz,nxapprox,1500,178.12748020000072
7500,_,watts_strogatz,approx,1500,1.430819999997766
7500,_,watts_strogatz,nxapprox,1500,177.56536380000034
7500,_,watts_strogatz,approx,1500,1.4526488999981666
7500,_,watts_strogatz,nxapprox,1500,178.15087960000164
7500,_,watts_strogatz,approx,1500,1.4030758999979298
7500,_,watts_strogatz,nxapprox,1500,177.99994779999906
7500,_,watts_strogatz,approx,1500,1.43341159999909
10000,_,watts_strogatz,nxapprox,2000,240.7440158999998
10000,_,watts_strogatz,approx,2000,1.899299400000018
10000,_,watts_strogatz,nxapprox,2000,239.0453445000021
10000,_,watts_strogatz,approx,2000,1.908803499998612
10000,_,watts_strogatz,nxapprox,2000,240.18937869999718
10000,_,watts_strogatz,approx,2000,1.8899558999983128
10000,_,watts_strogatz,nxapprox,2000,243.98559569999998
10000,_,watts_strogatz,approx,2000,1.9167960000013409
10000,_,watts_strogatz,nxapprox,2000,242.07563270000173
10000,_,watts_strogatz,approx,2000,1.9291656000023067
12500,_,watts_strogatz,nxapprox,2500,294.87526179999986
12500,_,watts_strogatz,approx,2500,2.4945196000007854
12500,_,watts_strogatz,nxapprox,2500,timeout
12500,_,watts_strogatz,approx,2500,2.5071721999993315
12500,_,watts_strogatz,approx,2500,2.5435035999980755
12500,_,watts_strogatz,approx,2500,2.505349200000637
12500,_,watts_strogatz,approx,2500,2.539732899997034
15000,_,watts_strogatz,approx,3000,3.0793135999992955
15000,_,watts_strogatz,approx,3000,3.116585899999336
15000,_,watts_strogatz,approx,3000,3.1181985000002896
15000,_,watts_strogatz,approx,3000,3.0982164000015473
15000,_,watts_strogatz,approx,3000,3.065769299999374
17500,_,watts_strogatz,approx,3500,3.7425987999995414
17500,_,watts_strogatz,approx,3500,3.747611399998277
17500,_,watts_strogatz,approx,3500,3.651678499998525
17500,_,watts_strogatz,approx,3500,3.7255466999995406
17500,_,watts_strogatz,approx,3500,3.731282299999293
20000,_,watts_strogatz,approx,4000,4.446065099997213
20000,_,watts_strogatz,approx,4000,4.374380699999165
20000,_,watts_strogatz,approx,4000,4.475278900001285
