err,graph_type,mean,method_name,n
0.005803954108530221,watts_strogatz,0.4575913999986369,approx,500
0.01459072169021324,watts_strogatz,0.927292860000307,approx,1000
0.016490767773065053,watts_strogatz,1.4323293599984026,approx,1500
0.013594521791711753,watts_strogatz,1.908804080000118,approx,2000
0.01975525414412506,watts_strogatz,2.5180554999991727,approx,2500
0.02055753796730343,watts_strogatz,3.0956167399999686,approx,3000
0.03492463270883229,watts_strogatz,3.7197435399990355,approx,3500
0.03334161127988847,watts_strogatz,4.430131739999342,approx,4000
0.04569535526930441,watts_strogatz,5.17911424000049,approx,4500
0.047518623745739855,watts_strogatz,5.901677159999963,approx,5000
