err,graph_type,mean,method_name,n
0.15573211366548012,watts_strogatz,49.84604172000036,nxapprox,500
0.62610005371053,watts_strogatz,111.32641360000052,nxapprox,1000
0.3278107284801583,watts_strogatz,177.83532236000102,nxapprox,1500
1.6969250887474676,watts_strogatz,241.20799350000016,nxapprox,2000
,watts_strogatz,294.87526179999986,nxapprox,2500
