err,graph_type,mean,method_name,n
0.01230665134172447,erdos_renyi,0.47724429999943824,approx,500
0.01724613362559539,erdos_renyi,0.9567298799993296,approx,1000
0.03411753700959786,erdos_renyi,1.5293026599996664,approx,1500
0.015042089313341294,erdos_renyi,2.1130395200008936,approx,2000
0.02137814186907734,erdos_renyi,2.721863179999491,approx,2500
0.014491877858081054,erdos_renyi,3.448662019999756,approx,3000
0.10303627108607617,erdos_renyi,4.253581539999141,approx,3500
0.03208999071103634,erdos_renyi,5.024864899999375,approx,4000
0.07724924268786439,erdos_renyi,5.909397680000256,approx,4500
0.08704670407304997,erdos_renyi,6.939936480000324,approx,5000
