err,graph_type,mean,method_name,n
0.014496863770095628,holme_kim,0.4747210199995607,approx,500
0.017082339020317246,holme_kim,0.9770539199998893,approx,1000
0.017916390908330547,holme_kim,1.4876081200003681,approx,1500
0.024043483479352316,holme_kim,2.1213736000005157,approx,2000
0.035618020224057904,holme_kim,2.7483668399989254,approx,2500
0.04818334399547578,holme_kim,3.5604310799986707,approx,3000
0.040299243872233256,holme_kim,4.313581479999994,approx,3500
0.049132799803415096,holme_kim,5.19410254000104,approx,4000
0.0611270767469635,holme_kim,6.0462251399978415,approx,4500
0.08226841936273102,holme_kim,6.932441040000413,approx,5000
