n,numpy,scipy,spilu_preconditioner,spilu_solve
1000,0.29879560000000005,0.9592364000000001,0.049575600000000004,0.0019571999999999992
999,0.2796073000000001,0.4394789000000001,0.04840730000000004,0.0024188000000000542
1000,0.2809281000000001,0.2555114999999999,0.04587849999999971,0.001944599999999852
1000,0.28269389999999994,0.2386974000000004,0.04719680000000004,0.0019477000000001077
1000,0.2809039999999996,0.2471367,0.04827920000000008,0.0019762000000000945
2000,1.3714293,1.5736044000000007,0.18087509999999973,0.0036898000000000764
2000,1.4713260999999989,1.5225621,0.19725940000000008,0.005474099999998927
2000,1.3114504,1.1476457,0.18424659999999982,0.004005100000000539
2000,1.3632223000000003,1.1853079000000015,0.1837447000000001,0.0038623999999991554
2000,1.3345200000000013,1.1634120999999986,0.18196189999999746,0.0038754000000018607
3000,3.610468899999997,3.124383699999999,0.43517130000000037,0.005724799999999419
2999,3.5466407999999987,3.024070199999997,0.45684229999999815,0.005954100000000295
3000,3.6038654999999977,3.0519016000000008,0.4605010000000007,0.0058152000000006865
3000,3.5990601000000026,3.061487300000003,0.44212579999999946,0.005779900000000282
2999,3.579823400000002,3.0316290999999964,0.44598390000000165,0.005888099999999952
4000,7.5643551,6.383364599999993,0.7979230999999913,0.0080636999999939
4000,7.573936400000008,6.3324116,0.8569633999999979,0.008129300000007333
4000,7.552423700000006,6.324970199999996,0.839652700000002,0.00816340000000082
4000,7.546395099999998,6.328519,0.8370481000000041,0.008153599999999983
4000,7.853900100000004,6.972126500000002,0.842885300000006,0.008321999999992613
4998,14.84293409999998,13.288310100000018,1.4360967000000073,0.010362499999985175
5000,14.08601539999998,13.777091300000023,1.4796340000000043,0.013549900000015214
5000,14.422903200000007,13.180480799999998,1.4052681999999947,0.010507300000000441
5000,14.064986599999997,11.666005100000007,1.341554699999989,0.010876400000000785
4998,13.118728099999998,11.1443802,1.3134933999999703,0.010453400000017155
