n,numpy_err,numpy_mean,scipy_err,scipy_mean,spilu_preconditioner_err,spilu_preconditioner_mean,spilu_variable_err,spilu_variable_mean
1000,0.0007172413602519072,0.028458577999999995,0.027591417773442085,0.04280121800000001,0.0012477536638296194,0.047867479999999976,1.8527823401578275e-05,0.0002048900000000022
2000,0.005477423791971493,0.13703896200000001,0.018852224240429167,0.13185064400000002,0.005945996154926829,0.18561753999999944,6.540982391042434e-05,0.0004181360000000111
3000,0.0023049197767089063,0.35879717399999994,0.003549758371063651,0.30586943799999994,0.009354461488850916,0.44812486000000007,8.06761774009383e-06,0.0005832420000000127
4000,0.0118233279549413,0.7618202080000003,0.02528252276660273,0.6468278379999998,0.019723347129778364,0.8348945200000003,8.521490479769989e-06,0.0008166399999998929
5000,0.05692592721196217,1.410711347999999,0.10185101816411271,1.2611253500000008,0.060756555748309515,1.395209399999993,0.00012126704432838682,0.0011149900000003755
,,,,,,,,
