array,matrix,n,spilu
0.3711495,0.22611809999999988,2000,1.8749215000000001
0.36533700000000024,0.22600519999999946,2000,1.7873481999999998
0.3635042999999998,0.23921680000000034,2000,1.6709943000000003
0.36755460000000006,0.23066799999999965,2000,1.8155757999999995
0.36505290000000024,0.22608390000000078,2000,1.8548288999999993
2.3530692,1.8759514000000017,3999,10.4159543
2.3184459000000004,1.8878209000000012,3999,9.899264099999996
2.3492530999999985,1.9802193999999957,4000,9.950570400000004
2.3407571999999988,1.8794333000000023,4000,10.100186699999995
2.3579493000000014,1.9030135000000001,4000,10.306386500000002
7.186512599999986,5.504456999999988,6000,26.435338299999998
7.054962700000004,5.449979999999982,6000,26.528126200000003
7.084007799999995,5.444018999999997,5999,26.106905299999994
7.0256689999999935,5.460469399999965,5999,26.66915529999997
7.113241000000016,5.446776400000033,5998,25.86902150000003
16.514087899999993,14.369888800000012,7998,50.810282400000006
16.225214199999982,14.331169999999986,8000,50.378896699999984
16.022116600000004,14.490870700000073,8000,50.36005559999995
15.926514599999905,14.47674649999999,8000,51.32550249999997
15.884925599999974,14.47571849999997,8000,50.20456530000001
31.71538679999992,26.864325599999916,10000,84.03559830000006
30.751758799999834,26.91743990000009,10000,84.57688150000001
31.452288800000133,27.072509200000013,10000,84.41086180000002
30.925577299999986,26.916399499999898,10000,84.35479910000004
31.12077720000002,27.928092200000037,9999,84.91069229999994
