approx,exact,n,residual,abs_error,sqr_error
0.0004974490266399282,0.0014598488957877308,0,0.0009623998691478026,0.0009623998691478026,9.262135081357076e-07
0.0003751529897659876,0.0013644417557598294,1,0.0009892887659938418,0.0009892887659938418,9.786922625216183e-07
0.00042903302077003223,0.0009500430627498573,2,0.0005210100419798251,0.0005210100419798251,2.7145146384381917e-07
0.001189936866622079,0.0017502990095835116,3,0.0005603621429614326,0.0005603621429614326,3.140057312643291e-07
0.0006578859973823777,0.0015181983479504737,4,0.0008603123505680959,0.0008603123505680959,7.401373405400024e-07
0.00026141539294861823,0.0007025719408087972,5,0.000441156547860179,0.000441156547860179,1.946190997199104e-07
0.0002567242909080105,0.0006321102616223262,6,0.0003753859707143157,0.0003753859707143157,1.4091462700912907e-07
0.0002312055892456588,0.0003850059968744567,7,0.00015380040762879787,0.00015380040762879787,2.3654565386784386e-08
0.0003439311223963716,0.0010821195306662905,8,0.0007381884082699189,0.0007381884082699189,5.449221261040765e-07
0.0006628886493287319,0.0015706061013886967,9,0.0009077174520599648,0.0009077174520599648,8.239509727742345e-07
0.0010298061302526295,0.0013450533054579024,10,0.00031524717520527287,0.00031524717520527287,9.938078147490401e-08
0.0005354550464277106,0.0010738759283273067,11,0.0005384208818995961,0.0005384208818995961,2.8989704606553875e-07
0.0006164735919025411,0.0013535377915644287,12,0.0007370641996618877,0.0007370641996618877,5.43263634423219e-07
0.000411761302347018,0.001070956561001927,13,0.0006591952586549091,0.0006591952586549091,4.3453838903311253e-07
0.0005417319627174257,0.0011870753489535454,14,0.0006453433862361197,0.0006453433862361197,4.1646808615870164e-07
7.501545621651842e-05,0.00030164293389738246,15,0.00022662747768086404,0.00022662747768086404,5.136001363999053e-08
0.00048218837511188127,0.0009468775589990062,16,0.00046468918388712494,0.00046468918388712494,2.1593603762168222e-07
0.000796662450562195,0.001469378998569078,17,0.000672716548006883,0.000672716548006883,4.525475539622969e-07
0.000408181079032077,0.0011018845617628,18,0.000693703482730723,0.000693703482730723,4.812245219527345e-07
0.0006125308427190239,0.0014210561965418787,19,0.0008085253538228547,0.0008085253538228547,6.537132477743724e-07
0.0007615004977557322,0.0014537442239154267,20,0.0006922437261596945,0.0006922437261596945,4.792013764074581e-07
0.0008762715481326011,0.0011757007831517763,21,0.00029942923501917516,0.00029942923501917516,8.965786678416844e-08
0.000465722553347392,0.0006125977113683264,22,0.00014687515802093442,0.00014687515802093442,2.1572312043674458e-08
0.0009099206360116835,0.001349389714068685,23,0.00043946907805700146,0.00043946907805700146,1.9313307056827083e-07
0.0,9.733924300250444e-17,24,9.733924300250444e-17,9.733924300250444e-17,9.47492822830061e-33
0.0011126597568830777,0.0017373156769087924,25,0.0006246559200257147,0.0006246559200257147,3.9019501842317207e-07
0.0013847514841404725,0.001672098628065224,26,0.00028734714392475154,0.00028734714392475154,8.256838112171188e-08
0.0004376236591365644,0.00041717767650379577,27,-2.0445982632768622e-05,2.0445982632768622e-05,4.1803820581947615e-10
0.0,5.093278195897354e-17,28,5.093278195897354e-17,5.093278195897354e-17,2.5941482780803408e-33
0.0002169471784016552,0.0003207727675687874,29,0.00010382558916713217,0.00010382558916713217,1.0779752965902113e-08
0.0006594194597476339,0.0016738957555814075,30,0.0010144762958337735,0.0010144762958337735,1.029162154808614e-06
0.000414743904128579,0.0010318069186313727,31,0.0006170630145027937,0.0006170630145027937,3.807667638672749e-07
0.0,1.6379380089865594e-19,32,1.6379380089865594e-19,1.6379380089865594e-19,2.682840921282854e-38
0.0006070982414459581,0.0014435822479155968,33,0.0008364840064696387,0.0008364840064696387,6.997054930794986e-07
0.00019237035909385172,0.0005246738037820762,34,0.00033230344468822444,0.00033230344468822444,1.1042557935165984e-07
0.000454719497026154,0.0010451183007913899,35,0.0005903988037652359,0.0005903988037652359,3.485707474874215e-07
0.00015647509898473875,0.00035796571101924085,36,0.0002014906120345021,0.0002014906120345021,4.0598466738038243e-08
0.00013217709793404995,0.00029303700374951015,37,0.0001608599058154602,0.0001608599058154602,2.5875909298958724e-08
0.001083454692256542,0.0013443968035676155,38,0.00026094211131107354,0.00026094211131107354,6.809078545548069e-08
0.0014751056780820076,0.0016685180126257725,39,0.00019341233454376488,0.00019341233454376488,3.740833115366922e-08
0.0002754566244474458,0.0004589353414407688,40,0.000183478716993323,0.000183478716993323,3.366443958951591e-08
0.0007202919541095039,0.0014931239369946978,41,0.0007728319828851939,0.0007728319828851939,5.972692737702606e-07
0.001330721600792172,0.002285322108365837,42,0.0009546005075736648,0.0009546005075736648,9.112621290598986e-07
0.00025928191721164213,0.0004667742985628522,43,0.0002074923813512101,0.0002074923813512101,4.3053088318795994e-08
9.746215152219828e-05,0.00010578460758655313,44,8.322456064354853e-06,8.322456064354853e-06,6.926327494311687e-11
0.0008282622165502711,0.0009955730071362864,45,0.00016731079058601532,0.00016731079058601532,2.7992900646517474e-08
0.0008246541232972886,0.0017220251276967929,46,0.0008973710043995043,0.0008973710043995043,8.052747195369752e-07
0.00022862172012661928,0.0003227658675714395,47,9.414414744482024e-05,9.414414744482024e-05,8.863120498112053e-09
0.00022639370823872147,0.00038458862980620176,48,0.0001581949215674803,0.0001581949215674803,2.5025633209741244e-08
0.0008837438165442198,0.0011814492721903857,49,0.00029770545564616587,0.00029770545564616587,8.862853832149123e-08
0.0001920571009562399,0.00047299067915984155,50,0.00028093357820360167,0.00028093357820360167,7.892367536227918e-08
0.00017145201380926203,0.00039911981280471646,51,0.00022766779899545443,0.00022766779899545443,5.183262669943464e-08
