approx,exact,n,residual,abs_error,sqr_error
0.005022535282128803,0.005639768131319364,318,0.0006172328491905613,0.0006172328491905613,3.809763901198982e-07
0.0008487827765939046,0.0008448903206571183,319,-3.892455936786287e-06,3.892455936786287e-06,1.515121321982281e-11
0.007053832692027397,0.007585364087725142,320,0.0005315313956977454,0.0005315313956977454,2.825256246123932e-07
0.00814409097306078,0.009905353804565706,321,0.001761262831504927,0.001761262831504927,3.1020467616407527e-06
0.0036768290688260112,0.00419562710883899,322,0.000518798040012979,0.000518798040012979,2.691514063213086e-07
0.004578222089006185,0.004862532918447113,323,0.0002843108294409277,0.0002843108294409277,8.083264773738827e-08
0.0024517111197184765,0.002719160126414768,324,0.0002674490066962914,0.0002674490066962914,7.152897118283294e-08
0.003645362257766513,0.005080813018441402,325,0.001435450760674889,0.001435450760674889,2.0605188863221174e-06
0.004084235927440199,0.005161352062273084,326,0.0010771161348328857,0.0010771161348328857,1.160179167917335e-06
0.003858809898168037,0.006685080773327688,327,0.002826270875159651,0.002826270875159651,7.9878070597757e-06
0.002016979373471795,0.002248557676688158,328,0.00023157830321636312,0.00023157830321636312,5.362851052056982e-08
0.009503282367898703,0.010639742112739084,329,0.0011364597448403815,0.0011364597448403815,1.291540751642665e-06
0.0011520121402257006,0.0012508967190481984,330,9.888457882249778e-05,9.888457882249778e-05,9.778159928902777e-09
0.0028168509666080368,0.0032918036979427377,331,0.00047495273133470097,0.00047495273133470097,2.2558009700229265e-07
0.0033634156821715144,0.003948003412831312,332,0.0005845877306597975,0.0005845877306597975,3.41742814837972e-07
0.015664092481168797,0.017394242815237576,333,0.0017301503340687793,0.0017301503340687793,2.9934201784783086e-06
0.0019761458234549803,0.002147259580622645,334,0.00017111375716766459,0.00017111375716766459,2.9279917892034482e-08
0.0034195978787523403,0.004108713129049389,335,0.0006891152502970488,0.0006891152502970488,4.748798281919643e-07
0.0035307167687612527,0.0036839891962294636,336,0.00015327242746821087,0.00015327242746821087,2.3492437021997962e-08
0.0035127226567845853,0.0034717828323318654,337,-4.093982445271989e-05,4.093982445271989e-05,1.6760692262195214e-09
0.006442409459400806,0.007387199418888117,338,0.0009447899594873105,0.0009447899594873105,8.926280675480338e-07
0.006424496187701323,0.00585195258915257,339,-0.0005725435985487531,0.0005725435985487531,3.2780617223915574e-07
0.012803292443100833,0.01416959625478278,340,0.0013663038116819466,0.0013663038116819466,1.8667861058166162e-06
0.0013277736970954586,0.0014292785828505833,341,0.00010150488575512472,0.00010150488575512472,1.0303241832160922e-08
0.010344014640395348,0.010909602903547323,342,0.0005655882631519747,0.0005655882631519747,3.198900834152674e-07
0.002004770930624032,0.0023446844495589817,343,0.00033991351893494955,0.00033991351893494955,1.1554120035474031e-07
0.0024940439048915285,0.002887804398821316,344,0.00039376049392978764,0.00039376049392978764,1.5504732657983033e-07
0.002878795691121818,0.0031473911929783076,345,0.00026859550185648947,0.00026859550185648947,7.214354361753944e-08
0.0025238268871765686,0.0029125704932662965,346,0.0003887436060897279,0.0003887436060897279,1.511215912756455e-07
0.0033614270302681605,0.003502654886771633,347,0.0001412278565034726,0.0001412278565034726,1.9945307452565445e-08
0.0003439254349332294,0.0003818433364604676,348,3.791790152723822e-05,3.791790152723822e-05,1.4377672562293345e-09
0.003134241497926683,0.0037213630209166054,349,0.0005871215229899225,0.0005871215229899225,3.4471168275800617e-07
0.004906730530298895,0.005757911344051721,350,0.0008511808137528264,0.0008511808137528264,7.245087777009238e-07
0.006212736843470894,0.006942489616753538,351,0.0007297527732826438,0.0007297527732826438,5.325391101137098e-07
0.0036371719285800963,0.003681979268432679,352,4.4807339852582714e-05,4.4807339852582714e-05,2.007697704664847e-09
0.007504159302701437,0.008506183461871885,353,0.0010020241591704483,0.0010020241591704483,1.004052415561244e-06
0.0011157802211698136,0.0010949786796006823,354,-2.0801541569131317e-05,2.0801541569131317e-05,4.3270413165229814e-10
0.004002304400340494,0.003953214352869861,355,-4.9090047470633225e-05,4.9090047470633225e-05,2.4098327606690233e-09
0.0043495936257276335,0.004460513069877825,356,0.00011091944415019157,0.00011091944415019157,1.2303123090587468e-08
0.0038984684086583177,0.004132032060616575,357,0.00023356365195825735,0.00023356365195825735,5.455197951607797e-08
0.006231243776987578,0.007574985573495123,358,0.0013437417965075455,0.0013437417965075455,1.805642015681326e-06
0.0030662650915553266,0.0036964176254046257,359,0.0006301525338492991,0.0006301525338492991,3.9709221591669204e-07
0.0030102927438661114,0.003871819020889747,360,0.0008615262770236354,0.0008615262770236354,7.422275260022057e-07
0.003925697321083539,0.004231690638628991,361,0.0003059933175454518,0.0003059933175454518,9.36319103824717e-08
0.005800364031434987,0.007920518365923071,362,0.002120154334488084,0.002120154334488084,4.49505440204861e-06
0.005180271873819233,0.005460327352874246,363,0.0002800554790550131,0.0002800554790550131,7.843107134873288e-08
0.0007391912534460606,0.0008212499831567357,364,8.205872971067511e-05,8.205872971067511e-05,6.733635121729634e-09
0.008922106179264056,0.011016972844897806,365,0.0020948666656337503,0.0020948666656337503,4.388466346783467e-06
0.011399932041667823,0.012500274812540044,366,0.001100342770872221,0.001100342770872221,1.210754213410757e-06
0.00734572815425973,0.008081502128491042,367,0.0007357739742313114,0.0007357739742313114,5.413633411561385e-07
0.0048712571429545245,0.005492522635426396,368,0.0006212654924718716,0.0006212654924718716,3.859708121363172e-07
0.001288440680170446,0.0016051984494476947,369,0.00031675776927724865,0.00031675776927724865,1.0033548439749869e-07
0.004981841038551328,0.0055018806068536956,370,0.0005200395683023678,0.0005200395683023678,2.70441152600113e-07
0.008473471750766591,0.009139050713500262,371,0.0006655789627336706,0.0006655789627336706,4.4299535563362884e-07
0.002732245118713367,0.0031243334250780396,372,0.0003920883063646724,0.0003920883063646724,1.5373323998791722e-07
0.00558026889582053,0.006132582704712376,373,0.0005523138088918463,0.0005523138088918463,3.0505054349261896e-07
0.0017677833516361444,0.002331304923557322,374,0.0005635215719211775,0.0005635215719211775,3.1755656202051484e-07
0.008498687672648636,0.009217961321607248,375,0.000719273648958612,0.000719273648958612,5.173545820862365e-07
0.00902763164421533,0.008391335009902126,376,-0.0006362966343132041,0.0006362966343132041,4.0487340683831144e-07
0.025903677121035362,0.030265845845738687,377,0.004362168724703325,0.004362168724703325,1.902851598277983e-05
