approx,exact,n,residual,abs_error,sqr_error
0.0012059352761929095,0.0014260969372079167,757,-0.00022016166101500724,0.00022016166101500724,4.847115698088696e-08
0.0035345573664234443,0.004995807732117435,758,-0.0014612503656939906,0.0014612503656939906,2.135252631240821e-06
0.00214245198264865,0.002870881847643548,759,-0.0007284298649948978,0.0007284298649948978,5.30610068216485e-07
0.007590322572792404,0.010734423382551136,760,-0.0031441008097587327,0.0031441008097587327,9.885369901925518e-06
0.002276962380221676,0.0026553369004728568,761,-0.0003783745202511806,0.0003783745202511806,1.4316727757531105e-07
7.126915574561684e-05,0.0001779604367526,762,-0.00010669128100698316,0.00010669128100698316,1.1383029442911044e-08
0.0032668076297915683,0.0035308760484236324,763,-0.000264068418632064,0.000264068418632064,6.973212971883902e-08
0.0008742396192546114,0.0016008976387029985,764,-0.0007266580194483871,0.0007266580194483871,5.280318772286525e-07
0.0007314713958339543,0.0007822685189447173,765,-5.079712311076301e-05,5.079712311076301e-05,2.5803477163300133e-09
0.00129618812034577,0.0023414830084927327,766,-0.0010452948881469627,0.0010452948881469627,1.0926414031861711e-06
0.0010822015969535808,0.001393549068793171,767,-0.0003113474718395902,0.0003113474718395902,9.693724822090441e-08
0.001675041032827126,0.0018214580860158223,768,-0.00014641705318869632,0.00014641705318869632,2.1437953464461525e-08
0.005963555490256385,0.009102958051418282,769,-0.0031394025611618977,0.0031394025611618977,9.855848441029882e-06
0.0014244654210146042,0.0016019562500014686,770,-0.00017749082898686438,0.00017749082898686438,3.1502994374444334e-08
0.0006916254853907307,0.0008599749481324787,771,-0.00016834946274174795,0.00016834946274174795,2.834154160543518e-08
0.0005751509515960941,0.0007222871144776051,772,-0.00014713616288151098,0.00014713616288151098,2.164905042749453e-08
0.0007345608553995056,0.0008775029471356732,773,-0.00014294209173616767,0.00014294209173616767,2.0432441589910973e-08
0.0010891093913919288,0.0012279756489001678,774,-0.00013886625750823898,0.00013886625750823898,1.928383747434454e-08
0.00333313394084401,0.006459073922600774,775,-0.0031259399817567634,0.0031259399817567634,9.771500769545475e-06
0.0014919791905061242,0.0019404121644859124,776,-0.0004484329739797882,0.0004484329739797882,2.0109213215235742e-07
0.0013321372377347927,0.001731045738793155,777,-0.00039890850105836224,0.00039890850105836224,1.5912799221662938e-07
0.0009277258530584027,0.0009883666028835795,778,-6.064074982517682e-05,6.064074982517682e-05,3.6773005393596824e-09
0.0006058247840837317,0.0007541633517276953,779,-0.00014833856764396366,0.00014833856764396366,2.200433065066278e-08
0.0011329666108346227,0.0015722172941535961,780,-0.0004392506833189734,0.0004392506833189734,1.9294116279618507e-07
0.00028379293772463654,0.0005519288720838753,781,-0.00026813593435923876,0.00026813593435923876,7.1896879294702e-08
