edges,graph_name,method_name,nodes,time
513,_,nx,100,0.16635309999999848
513,_,brandes,100,0.026278100000002524
492,_,nx,100,0.16586909999999833
492,_,brandes,100,0.024332199999999915
507,_,nx,100,0.16488600000000275
507,_,brandes,100,0.025102000000000402
510,_,nx,100,0.1672671000000001
510,_,brandes,100,0.026824400000002413
471,_,nx,100,0.1542344999999976
471,_,brandes,100,0.02377660000000148
511,_,nx,100,0.16642370000000284
511,_,brandes,100,0.026140099999999222
510,_,nx,100,0.1661009999999976
510,_,brandes,100,0.025516700000000725
499,_,nx,100,0.15924220000000133
499,_,brandes,100,0.02468009999999765
541,_,nx,100,0.18001950000000022
541,_,brandes,100,0.026567000000000007
985,_,nx,200,0.6027716999999981
985,_,brandes,200,0.05926150000000163
988,_,nx,200,0.613105400000002
988,_,brandes,200,0.05959299999999956
1044,_,nx,200,0.6481579000000011
1044,_,brandes,200,0.06408360000000002
1034,_,nx,200,0.636731300000001
1034,_,brandes,200,0.06621159999999904
966,_,nx,200,0.6017632000000006
966,_,brandes,200,0.05875050000000215
965,_,nx,200,0.5993056999999986
965,_,brandes,200,0.06312589999999929
958,_,nx,200,0.5920918999999998
958,_,brandes,200,0.05823459999999869
1018,_,nx,200,0.6296758000000011
1018,_,brandes,200,0.06186790000000286
955,_,nx,200,0.5933905999999993
955,_,brandes,200,0.05856019999999873
1023,_,nx,200,0.6388913000000009
1023,_,brandes,200,0.06231040000000121
985,_,nx,200,0.6331625999999986
985,_,brandes,200,0.05988779999999849
1008,_,nx,200,0.6185494000000027
1008,_,brandes,200,0.061387499999998596
1031,_,nx,200,0.6394308999999971
1031,_,brandes,200,0.06219109999999972
999,_,nx,200,0.6163086
999,_,brandes,200,0.060513700000001336
1003,_,nx,200,0.6198501000000007
1003,_,brandes,200,0.06327840000000151
976,_,nx,200,0.6009807999999985
976,_,brandes,200,0.060838800000002635
994,_,nx,200,0.6147939999999998
994,_,brandes,200,0.06122729999999876
986,_,nx,200,0.6060720999999987
986,_,brandes,200,0.05969380000000157
1007,_,nx,200,0.6304147000000029
1007,_,brandes,200,0.06141320000000405
979,_,nx,200,0.6041972999999956
979,_,brandes,200,0.06339810000000057
991,_,nx,200,0.623930399999999
991,_,brandes,200,0.06031799999999521
960,_,nx,200,0.5968333999999942
960,_,brandes,200,0.058514100000003566
1000,_,nx,200,0.6209971000000039
1000,_,brandes,200,0.06207960000000412
994,_,nx,200,0.625627999999999
994,_,brandes,200,0.06489239999999796
1027,_,nx,200,0.6423415000000006
1027,_,brandes,200,0.11296039999999863
983,_,nx,200,0.6157374000000004
983,_,brandes,200,0.06333219999999784
1015,_,nx,200,0.6216307999999984
1015,_,brandes,200,0.061753000000003055
978,_,nx,200,0.6025477000000024
978,_,brandes,200,0.0597840000000005
1048,_,nx,200,0.6505748000000011
1048,_,brandes,200,0.06584159999999883
971,_,nx,200,0.6152812999999995
971,_,brandes,200,0.060360699999996825
1033,_,nx,200,0.6447203999999971
1033,_,brandes,200,0.0673134000000033
1064,_,nx,200,0.6498027000000022
1064,_,brandes,200,0.06505620000000079
