edges,graph_name,method_name,nodes,setup_time,time
225,_,nx,50,7e-07,0.0345568
225,_,nx,50,5.999999999964367e-07,0.0447782
225,_,nx,50,6.000000000033756e-07,0.039454100000000006
225,_,nx,50,6.000000000033756e-07,0.03409839999999999
225,_,nx,50,6.999999999923734e-07,0.034753000000000006
225,_,nx,50,5.999999999894978e-07,0.034424399999999994
225,_,nx,50,7.99999999995249e-07,0.03453300000000001
225,_,nx,50,5.000000000143778e-07,0.03373880000000001
225,_,nx,50,6.000000000172534e-07,0.0493768
225,_,nx,50,6.999999999646178e-07,0.046413399999999994
225,_,brandes_dense,50,5.999999999617422e-07,0.009768700000000019
225,_,brandes_dense,50,6.000000000172534e-07,0.00895760000000001
225,_,brandes_dense,50,5.000000000143778e-07,0.008734399999999976
225,_,brandes_dense,50,5.000000000143778e-07,0.008746799999999999
225,_,brandes_dense,50,5.999999999617422e-07,0.008301900000000029
225,_,brandes_dense,50,5.000000000143778e-07,0.008352899999999996
225,_,brandes_dense,50,4.999999999588667e-07,0.008289900000000017
225,_,brandes_dense,50,5.000000000143778e-07,0.008274500000000018
225,_,brandes_dense,50,4.0000000001150227e-07,0.008255899999999983
225,_,brandes_dense,50,5.000000000143778e-07,0.008258600000000005
225,_,newman,50,5.000000000143778e-07,0.027579399999999976
225,_,newman,50,4.0000000001150227e-07,0.027525300000000086
225,_,newman,50,4.999999999588667e-07,0.02807700000000002
225,_,newman,50,3.9999999990047996e-07,0.027510099999999982
225,_,newman,50,4.999999999588667e-07,0.027729000000000004
225,_,newman,50,4.0000000001150227e-07,0.027880500000000086
225,_,newman,50,4.999999999588667e-07,0.02796310000000002
225,_,newman,50,4.999999999588667e-07,0.02757620000000005
225,_,newman,50,4.999999999588667e-07,0.02769109999999997
225,_,newman,50,4.0000000001150227e-07,0.02804110000000004
503,_,nx,100,6.000000000172534e-07,0.12217650000000002
503,_,nx,100,5.999999999062311e-07,0.12252980000000002
503,_,nx,100,7.999999999119822e-07,0.15000119999999995
503,_,nx,100,7.000000001866624e-07,0.14747599999999994
503,_,nx,100,5.999999999062311e-07,0.14050619999999991
503,_,nx,100,6.999999999646178e-07,0.1325231
503,_,nx,100,5.999999999062311e-07,0.13019819999999993
503,_,nx,100,8.000000000230045e-07,0.13674889999999995
503,_,nx,100,5.999999999062311e-07,0.12222860000000013
503,_,nx,100,6.999999999646178e-07,0.1325772999999999
