builtin,function,i,n,numpy
0.07538800000000001,abs,0,1000000,0.0018526999999999988
0.0627466000000001,sum,0,10000000,0.004344699999999868
0.06274700000000033,where,0,10000000,0.004280899999999921
0.07547039999999994,abs,1,1000000,0.0018051999999997292
0.06339150000000027,sum,1,10000000,0.004281500000000271
0.06264309999999984,where,1,10000000,0.0043183999999998335
0.07531279999999985,abs,2,1000000,0.0018321999999999505
0.0627001999999992,sum,2,10000000,0.004288599999999754
0.06261660000000013,where,2,10000000,0.004300200000000309
0.07550080000000037,abs,3,1000000,0.001871799999999979
0.06271379999999915,sum,3,10000000,0.004299899999999468
0.06271580000000121,where,3,10000000,0.004309799999999697
0.07566309999999987,abs,4,1000000,0.0018603999999999843
0.09300310000000067,sum,4,10000000,0.005711900000001435
0.06255670000000002,where,4,10000000,0.004267800000000932
0.07652399999999915,abs,5,1000000,0.0018321999999990624
0.06260829999999906,sum,5,10000000,0.004291700000001342
0.06277180000000016,where,5,10000000,0.004319600000000534
0.07556220000000025,abs,6,1000000,0.0018162000000003786
0.06276210000000049,sum,6,10000000,0.0043189999999988515
0.06273379999999662,where,6,10000000,0.00433230000000151
0.0754702000000016,abs,7,1000000,0.0018458999999992898
0.0625891999999979,sum,7,10000000,0.0042743999999999005
0.06256079999999997,where,7,10000000,0.004297799999999796
0.0788542000000021,abs,8,1000000,0.0018370999999994808
0.06266570000000016,sum,8,10000000,0.004271500000001538
0.06257489999999777,where,8,10000000,0.004278199999998122
0.07549140000000065,abs,9,1000000,0.0018354999999985466
0.06277369999999749,sum,9,10000000,0.00429940000000073
0.06265279999999862,where,9,10000000,0.004299199999998393
0.155506299999999,abs,0,2000000,0.003684199999998583
0.12528990000000206,sum,0,20000000,0.00869249999999866
0.1253788,where,0,20000000,0.008483500000000532
0.16145080000000078,abs,1,2000000,0.003707500000000863
0.12515840000000011,sum,1,20000000,0.008530999999997846
0.1252556000000027,where,1,20000000,0.008524399999998877
0.15604760000000084,abs,2,2000000,0.003693900000001804
0.12543749999999676,sum,2,20000000,0.008559599999998113
0.12522930000000088,where,2,20000000,0.008515399999993178
0.1557750999999996,abs,3,2000000,0.0037106999999991785
0.1254925,sum,3,20000000,0.008583999999999037
0.12556359999999955,where,3,20000000,0.008525699999999858
0.156016699999995,abs,4,2000000,0.0037364000000010833
0.12531979999999976,sum,4,20000000,0.009198500000003662
0.1252932999999956,where,4,20000000,0.008527499999999577
0.15612039999999894,abs,5,2000000,0.0037377999999961276
0.12532530000000008,sum,5,20000000,0.008512499999994816
0.12527750000000282,where,5,20000000,0.00858649999999983
0.15562590000000398,abs,6,2000000,0.003722299999999734
0.12520400000000365,sum,6,20000000,0.008538799999996627
0.1251377999999974,where,6,20000000,0.008501400000000103
0.15701119999999946,abs,7,2000000,0.003743599999999958
0.12518440000000197,sum,7,20000000,0.008517499999996403
0.12526190000000526,where,7,20000000,0.008511999999996078
0.16065150000000017,abs,8,2000000,0.003733799999999121
0.1253976999999935,sum,8,20000000,0.008521899999990978
0.12692529999999635,where,8,20000000,0.008515199999990841
0.15675890000001402,abs,9,2000000,0.0037115000000085274
0.12550099999999986,sum,9,20000000,0.00853689999999574
0.12525049999999283,where,9,20000000,0.00852309999999079
0.23210500000000422,abs,0,3000000,0.005641599999989921
0.18785579999999413,sum,0,30000000,0.012810500000000502
0.187716800000004,where,0,30000000,0.012742899999992119
0.23163099999999304,abs,1,3000000,0.005742300000008527
0.18774620000000652,sum,1,30000000,0.012769099999999867
0.18912820000001318,where,1,30000000,0.013123800000002461
0.23204110000000355,abs,2,3000000,0.005609200000009196
0.18777799999999445,sum,2,30000000,0.012776600000009353
0.18816869999999142,where,2,30000000,0.012846799999991276
0.23118700000000558,abs,3,3000000,0.0056129999999967595
0.18804029999999727,sum,3,30000000,0.01294070000000147
0.18820829999999944,where,3,30000000,0.012764799999999354
0.23185709999999915,abs,4,3000000,0.005676800000003368
0.18791439999999682,sum,4,30000000,0.012784899999999766
0.18780959999999425,where,4,30000000,0.012713199999993208
0.2320746999999983,abs,5,3000000,0.005663800000007768
0.18795240000000035,sum,5,30000000,0.012739000000010492
0.18778319999999837,where,5,30000000,0.012783299999995279
0.2314064999999914,abs,6,3000000,0.0056787999999983185
0.18816019999999867,sum,6,30000000,0.01274180000000058
0.21580589999999233,where,6,30000000,0.01293589999998801
0.2324649999999906,abs,7,3000000,0.005627000000004045
0.21789730000000418,sum,7,30000000,0.012821100000010688
0.18867690000001858,where,7,30000000,0.012965900000011743
0.23911120000002484,abs,8,3000000,0.005803600000007236
0.1882009999999923,sum,8,30000000,0.012800699999985454
0.18769219999998654,where,8,30000000,0.012763799999987668
0.23190610000000333,abs,9,3000000,0.005664600000017117
0.18783239999999068,sum,9,30000000,0.01274319999998852
0.1882325999999921,where,9,30000000,0.0128421000000003
0.31874310000000605,abs,0,4000000,0.0076804999999922074
0.250905500000016,sum,0,40000000,0.017043699999987894
0.2506635000000017,where,0,40000000,0.016979599999984885
0.32301630000000614,abs,1,4000000,0.007854100000002973
0.2504545000000178,sum,1,40000000,0.016977699999983997
0.25092610000001514,where,1,40000000,0.017124500000022636
0.3185884000000101,abs,2,4000000,0.0076650000000029195
0.2508832000000041,sum,2,40000000,0.01704440000000318
0.25100100000000225,where,2,40000000,0.017149700000004486
0.3191486999999995,abs,3,4000000,0.007675399999982346
0.25037100000000123,sum,3,40000000,0.016980399999994233
0.25095020000000545,where,3,40000000,0.017024599999984957
0.3188493999999764,abs,4,4000000,0.0076837999999952444
0.25041269999999827,sum,4,40000000,0.017010099999993145
