err,mean,n,version
5.100395670930243e-05,0.06265732999999947,10000000,builtin
1.2897365795017064e-05,0.004300419999999905,10000000,numpy
0.00033382660063044047,0.12545735999999935,20000000,builtin
1.6739522096141937e-05,0.008521469999996967,20000000,numpy
0.005537301333496467,0.19092223999999902,30000000,builtin
8.031690150296632e-05,0.012848249999996142,30000000,numpy
0.0001399739029676535,0.2507407400000005,40000000,builtin
4.450318341108392e-05,0.017030999999997222,40000000,numpy
0.0004052841768952519,0.3136651300000068,50000000,builtin
7.293237079935113e-05,0.021321970000013835,50000000,numpy
0.0021080717373270275,0.37719140000001516,60000000,builtin
4.170767102517493e-05,0.02549242999999137,60000000,numpy
0.0006164625945677459,0.4393305200000441,70000000,builtin
0.001469304672586878,0.030598109999971257,70000000,numpy
0.0004456196103771339,0.5013880800000038,80000000,builtin
7.56818416621198e-05,0.034038720000023656,80000000,numpy
0.0010046689843267592,0.5644816699999978,90000000,builtin
0.000115420040631437,0.03830019999999194,90000000,numpy
0.0005462567841220408,0.6266366900000093,100000000,builtin
0.00012825232699759933,0.04254318000000694,100000000,numpy
