err,mean,n,version
0.0006858515903283724,0.07592371000000038,1000000,builtin
1.254264902024584e-05,0.00183891999999964,1000000,numpy
0.0013560667326090493,0.15709644000000117,2000000,builtin
1.261892934311071e-05,0.003718170000000498,2000000,numpy
0.0014702383661817108,0.2325784700000014,3000000,builtin
3.819591659513262e-05,0.005672070000004225,3000000,numpy
0.0016642451131473545,0.3203161399999999,4000000,builtin
0.00016242596522242686,0.007761409999994839,4000000,numpy
0.0006045741913917455,0.3851214999999996,5000000,builtin
9.748138533913298e-05,0.009810130000008143,5000000,numpy
0.0007637176348673968,0.47364592999999217,6000000,builtin
3.00056061452565e-05,0.01141538999999625,6000000,numpy
0.0013101200631046492,0.546700050000004,7000000,builtin
6.648217270834809e-05,0.013404860000014196,7000000,numpy
0.0011607255036983298,0.6239167800000018,8000000,builtin
4.462589233237591e-05,0.015521229999967546,8000000,numpy
0.0016746016173952575,0.7026568599999905,9000000,builtin
8.851550121963246e-05,0.01750793999999587,9000000,numpy
0.010251029839561582,0.7905838899999708,10000000,builtin
0.00012761409814775938,0.01924718000000212,10000000,numpy
,,,
