err,mean,n,version
0.006047858406102942,0.06579541999999945,10000000,builtin
0.00028336639054239097,0.004438260000000316,10000000,numpy
7.889002894231908e-05,0.12533104999999978,20000000,builtin
0.00013299359984760546,0.008619319999997188,20000000,numpy
0.005991778526467724,0.19093779999999755,30000000,builtin
3.7649331704551865e-05,0.01279276000000067,30000000,numpy
0.00029291557107241726,0.2507821500000091,40000000,builtin
6.29064070223533e-05,0.017056829999992827,40000000,numpy
0.0003053119017972915,0.31342233000000874,50000000,builtin
4.484642237401156e-05,0.021277279999989674,50000000,numpy
0.0005157477070046341,0.3764788899999985,60000000,builtin
3.1081485012537574e-05,0.025497729999995045,60000000,numpy
0.0001843931784858087,0.43855592000001026,70000000,builtin
5.824411461523818e-05,0.0297657000000072,70000000,numpy
0.0005524345994829709,0.5019285299999865,80000000,builtin
5.129904873688368e-05,0.03402550999999221,80000000,numpy
0.00043561016563135294,0.564106609999999,90000000,builtin
6.422651442060643e-05,0.03823058000002675,90000000,numpy
0.0039443615572516,0.6283146299999999,100000000,builtin
0.00011179263740438782,0.042504800000028806,100000000,numpy
,,,
