inversion,multiplication,n,spilu_preconditioner,spilu_solve
0.2222711000000004,0.02768820000000005,2000,0.17938420000001543,0.003730300000029274
0.22657689999999775,0.02497249999998985,2000,0.19821479999995972,0.0038902999999663734
0.2228915000000029,0.024175099999979466,1999,0.18582709999998315,0.0038126000000033855
0.2247580999999741,0.024705400000016198,2000,0.1783328999999867,0.0037772000000018124
0.22299820000000636,0.024128700000005665,2000,0.1932853999999793,0.0037962000000106855
1.8611597999999958,0.09195560000000569,4000,0.8711718999999789,0.008192800000017542
1.8317033000000151,0.09163339999997788,4000,0.8236428999999816,0.008017800000004627
1.8154313000000002,0.08825720000004367,4000,0.7872924000000125,0.008120899999994435
1.9654466999999727,0.09109439999997448,4000,0.8984532000000058,0.01006399999999985
1.8343796999999995,0.08898650000003272,4000,0.8519282999999973,0.00807809999997744
5.499130999999977,0.20356309999999667,6000,1.977870400000029,0.013047299999982442
5.5180957000000035,0.19987929999996368,6000,2.0821670000000267,0.01275399999997262
6.501282600000025,0.2436100999999553,6000,2.0782327999999666,0.012848700000006374
6.494030099999975,0.24215400000002774,6000,2.0152898999999707,0.01393039999999246
6.643358599999999,0.2641967000000136,6000,1.935173700000007,0.014890499999978601
13.881307600000014,0.3490812999999662,8000,3.721193400000004,0.018534999999985757
15.028764299999978,0.3982221999999638,8000,3.725258999999994,0.018141399999990426
13.960432400000002,0.3502070000000117,8000,3.7484404999999583,0.01869529999999031
13.877926500000001,0.3456071999999608,8000,3.6601800000000253,0.018428400000004785
13.793628900000044,0.3519105999999965,8000,3.46905849999996,0.017707999999970525
26.448973000000024,0.5736309000000119,10000,5.637799500000028,0.02402340000003278
26.20484829999998,0.5826964999999973,10000,5.661309899999992,0.023966599999994287
26.221658899999966,0.5648926000000074,9999,5.735333299999979,0.024109800000019277
26.812106900000003,0.5715019000000439,10000,5.781927199999927,0.023949099999981627
26.685287399999993,0.5706071999999267,9999,5.802059200000031,0.024041499999952975
,,,,
