approx,brandes,dataset,m,n
16.241453399999955,660.8213436,p2p-Gnutella04.txt,39994,10876
17.041629400000147,839.8106782000001,p2p-Gnutella04.txt,39994,10876
16.930404799999906,944.6215867000001,p2p-Gnutella04.txt,39994,10876
16.699806499999795,808.8971566,p2p-Gnutella04.txt,39994,10876
20.515704399999777,702.1148684999998,p2p-Gnutella04.txt,39994,10876
22.28175609999971,13.183477400000356,CA-GrQc.txt,14484,5242
21.712675499999477,11.281490400000166,CA-GrQc.txt,14484,5242
22.665971600000375,11.17633079999996,CA-GrQc.txt,14484,5242
22.645578500000738,11.216004399999292,CA-GrQc.txt,14484,5242
21.75608269999975,11.401885600000242,CA-GrQc.txt,14484,5242
2.343431299999793,2.780379499999981,email-Eu-core.txt,16064,1005
2.3485984999997527,2.655815199999779,email-Eu-core.txt,16064,1005
2.421259700000519,2.729773199999727,email-Eu-core.txt,16064,1005
2.337828400000035,2.7178821999996217,email-Eu-core.txt,16064,1005
2.236326299999746,2.2285398000003624,email-Eu-core.txt,16064,1005
16.291998200000307,72.48191969999971,facebook_combined.txt,88234,4039
15.657229599999482,75.75961980000011,facebook_combined.txt,88234,4039
15.353920300000027,72.1422036999993,facebook_combined.txt,88234,4039
15.567869200000132,72.94591850000052,facebook_combined.txt,88234,4039
15.542391099999804,71.57130589999997,facebook_combined.txt,88234,4039
