err,graph_type,mean,method_name,n
0.0021358569899690358,erdos_renyi,0.08250298000000038,brandes,250
0.016151744044457635,erdos_renyi,0.23825131999999982,brandes,500
0.017776108398060667,erdos_renyi,0.4589815000000044,brandes,750
0.01782878620807575,erdos_renyi,0.7636781800000335,brandes,1000
0.026452167034338673,erdos_renyi,1.1331181200001539,brandes,1250
0.024905030127167955,erdos_renyi,1.6612827600000855,brandes,1500
0.015061888643004898,erdos_renyi,2.2639485400000012,brandes,1750
0.03704516720947072,erdos_renyi,3.0039361799999824,brandes,2000
0.04019263636955396,erdos_renyi,3.9609465000001363,brandes,2250
0.03150758096324239,erdos_renyi,4.914360399999714,brandes,2500
0.04910537570538736,erdos_renyi,6.254804060000242,brandes,2750
0.06363456581794691,erdos_renyi,7.711630979999791,brandes,3000
