err,graph_type,mean,method_name,n
0.017950232925694014,watts_strogatz,0.8932624999999461,nx,250
0.03519495029688653,watts_strogatz,3.2989327600000253,nx,500
0.03571524646884216,watts_strogatz,7.4694585400002325,nx,750
0.1511513848039674,watts_strogatz,13.864653399999952,nx,1000
0.10064232537471612,watts_strogatz,24.131788899999812,nx,1250
0.544426850105336,watts_strogatz,37.80327713999977,nx,1500
0.8676940252237418,watts_strogatz,55.447523440000076,nx,1750
0.7690131758115233,watts_strogatz,77.06489322000016,nx,2000
0.9105042181013256,watts_strogatz,101.32057941999992,nx,2250
0.6905640072303654,watts_strogatz,127.58142546000018,nx,2500
0.4959362337233929,watts_strogatz,164.37686475999982,nx,2750
1.4585702734046222,watts_strogatz,203.0786349599999,nx,3000
