err,graph_type,mean,method_name,n
0.015346718409171423,erdos_renyi,0.7840707599999999,nx,250
0.05958789055569471,erdos_renyi,2.95932142,nx,500
0.107835050283984,erdos_renyi,6.911763860000002,nx,750
0.28618685660829973,erdos_renyi,13.91865438000002,nx,1000
0.5237538376203407,erdos_renyi,24.86641306000006,nx,1250
0.8266944318787697,erdos_renyi,39.39270916000005,nx,1500
0.4473487612873767,erdos_renyi,57.987658040000134,nx,1750
1.030164800651366,erdos_renyi,81.11735553999998,nx,2000
1.2477069603654156,erdos_renyi,108.6511362600002,nx,2250
1.40588907153459,erdos_renyi,137.43698934000003,nx,2500
2.687552527987252,erdos_renyi,177.32670358000013,nx,2750
2.171374330711541,erdos_renyi,226.78851284000012,nx,3000
