edges,graph_name,graph_type,method_name,nodes,time
2491,_,erdos_renyi,nx,500,3.59368360000002
2491,_,erdos_renyi,newman,500,6.456326600000011
2491,_,erdos_renyi,brandes,500,0.22464250000001584
2429,_,erdos_renyi,nx,500,3.437819499999989
2429,_,erdos_renyi,newman,500,7.687294199999997
2429,_,erdos_renyi,brandes,500,0.22323529999999892
2485,_,erdos_renyi,nx,500,3.5171536999999944
2485,_,erdos_renyi,newman,500,7.474750299999982
2485,_,erdos_renyi,brandes,500,0.23371809999997595
2455,_,erdos_renyi,nx,500,3.4652717999999822
2455,_,erdos_renyi,newman,500,7.433366100000001
2455,_,erdos_renyi,brandes,500,0.22984819999999218
2503,_,erdos_renyi,nx,500,3.5542573000000175
2503,_,erdos_renyi,newman,500,7.493375599999979
2503,_,erdos_renyi,brandes,500,0.22884620000002087
5012,_,erdos_renyi,nx,1000,16.435814800000003
5012,_,erdos_renyi,newman,1000,141.8374579
5012,_,erdos_renyi,brandes,1000,0.7766068000000814
5097,_,erdos_renyi,nx,1000,16.377887299999998
5097,_,erdos_renyi,newman,1000,144.5115849
5097,_,erdos_renyi,brandes,1000,0.7753417999999783
5060,_,erdos_renyi,nx,1000,16.37762609999993
5060,_,erdos_renyi,newman,1000,143.23224119999998
5060,_,erdos_renyi,brandes,1000,0.832539299999894
4940,_,erdos_renyi,nx,1000,15.822810300000015
4940,_,erdos_renyi,newman,1000,139.26652569999987
4940,_,erdos_renyi,brandes,1000,0.7494819999999436
4998,_,erdos_renyi,nx,1000,15.95052429999987
4998,_,erdos_renyi,newman,1000,141.60118579999994
4998,_,erdos_renyi,brandes,1000,0.8171350000000075
7373,_,erdos_renyi,nx,1500,43.72560939999994
7373,_,erdos_renyi,newman,1500,timeout
7373,_,erdos_renyi,brandes,1500,1.6352045000000999
7530,_,erdos_renyi,nx,1500,45.064747200000056
7530,_,erdos_renyi,brandes,1500,1.6708284000001186
7564,_,erdos_renyi,nx,1500,44.82444220000002
7564,_,erdos_renyi,brandes,1500,1.6711401999998543
7544,_,erdos_renyi,nx,1500,45.45606399999997
7544,_,erdos_renyi,brandes,1500,1.68458140000007
7380,_,erdos_renyi,nx,1500,43.74969379999993
7380,_,erdos_renyi,brandes,1500,1.6453072999997858
10135,_,erdos_renyi,nx,2000,92.71605000000022
10135,_,erdos_renyi,brandes,2000,3.0317458999998053
9820,_,erdos_renyi,nx,2000,88.7942109999999
9820,_,erdos_renyi,brandes,2000,2.9808947999999873
10162,_,erdos_renyi,nx,2000,93.34801590000006
10162,_,erdos_renyi,brandes,2000,3.049319100000048
10058,_,erdos_renyi,nx,2000,92.62313670000003
10058,_,erdos_renyi,brandes,2000,3.0305570000000444
10141,_,erdos_renyi,nx,2000,93.49068220000026
10141,_,erdos_renyi,brandes,2000,3.047049799999968
12737,_,erdos_renyi,nx,2500,157.89147890000004
12737,_,erdos_renyi,brandes,2500,5.034946499999933
12391,_,erdos_renyi,nx,2500,151.3118902000001
12391,_,erdos_renyi,brandes,2500,4.97289980000005
12498,_,erdos_renyi,nx,2500,155.0967258999999
12498,_,erdos_renyi,brandes,2500,4.967815499999688
12431,_,erdos_renyi,nx,2500,154.06529939999973
12431,_,erdos_renyi,brandes,2500,4.959141299999828
12698,_,erdos_renyi,nx,2500,155.84994640000014
12698,_,erdos_renyi,brandes,2500,5.073650799999996
15059,_,erdos_renyi,nx,3000,250.79804490000015
