err,graph_type,mean,method_name,n
0.0052815872892161084,watts_strogatz,0.2200821200000064,brandes,500
0.008253019096360443,watts_strogatz,0.7029689400002098,brandes,1000
0.020501355985288214,watts_strogatz,1.518873899999744,brandes,1500
0.025858310788703816,watts_strogatz,2.7614791799998786,brandes,2000
0.03402821471219465,watts_strogatz,4.564710879999803,brandes,2500
0.039171067459513986,watts_strogatz,7.1551610199996505,brandes,3000
0.045401710088526115,watts_strogatz,10.340715860000273,brandes,3500
0.0551376786472014,watts_strogatz,14.77535914,brandes,4000
0.029480773598384292,watts_strogatz,18.627515620000487,brandes,4500
0.08144049777259674,watts_strogatz,24.25451563999959,brandes,5000
