err,graph_type,mean,method_name,n
0.009539719248609581,holme_kim,0.9192196000003605,nx,250
0.02525795024113962,holme_kim,3.5600883999999495,nx,500
0.10066738024141056,holme_kim,8.279505140000037,nx,750
0.06699267208006798,holme_kim,16.403725800000394,nx,1000
0.17704602881346032,holme_kim,29.096380599999975,nx,1250
0.3584573411069897,holme_kim,46.05600315999982,nx,1500
0.3523120652381679,holme_kim,67.21004260000045,nx,1750
0.7916822705665261,holme_kim,94.15861283999985,nx,2000
0.7566929041250385,holme_kim,124.64358552000121,nx,2250
0.6096560197190989,holme_kim,157.97229225999908,nx,2500
0.8141004520087113,holme_kim,204.0439189800003,nx,2750
0.8298457766763145,holme_kim,256.10968315999924,nx,3000
